_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,adjective_used_to_describe_the_politician_1,adjective_used_to_describe_the_politician_2,adjective_used_to_describe_the_politician_3,what_is_the_url_link_to_the_op_ed_article_blog_or_news_article,what_is_the_url_link_to_the_op_ed_article_blog_or_news_article_worker_input
623389196,12/11/2014 01:15:27,1499049911,12/11/2014 01:09:46,false,neodev,1,30384459,USA,FL,Miami,108.199.89.233,Democrata,defeated,ofensive,http://vivelohoy.com/noticias/eeuu/8425930/obama-recupera-el-impulso-tras-la-derrota-electoral-democrata/,http://www.vivelohoy.com/noticias/eeuu/8425930/obama-recupera-el-impulso-tras-la-derrota-electoral-democrata
623389196,12/11/2014 01:27:17,1499057800,12/11/2014 01:25:32,false,instagc,1,21319315,USA,PA,Lebanon,75.75.152.22,dishonest,narcissist,liar,http://dailycaller.com/2014/12/10/obama-makes-up-bible-verse-to-justify-immigration-power-grab/,http://dailycaller.com/2014/12/10/obama-makes-up-bible-verse-to-justify-immigration-power-grab/
623389196,12/11/2014 08:42:46,1499437813,12/11/2014 08:40:46,false,clixsense,1,19294877,USA,MA,Boston,96.233.20.2,arrogant,illegal,overreach,http://newsmax.com/Newsfront/sessions-obama-arrogant-brooks/2014/11/06/id/605862/,http://www.newsmax.com/Newsfront/sessions-obama-arrogant-brooks/2014/11/06/id/605862/
623389196,12/11/2014 13:22:59,1499657103,12/11/2014 13:18:47,false,neodev,1,30847581,USA,CA,Fremont,64.71.142.198,angry,defiant,angry,http://nytimes.com/pages/opinion/,www.nytimes.com/pages/opinion/
623389196,12/11/2014 14:31:02,1499720741,12/11/2014 14:30:43,false,clixsense,1,6574449,USA,NY,Buffalo,98.118.152.11,bad,bad,bad,http://a.com/,a.com
623389196,12/11/2014 14:53:41,1499747951,12/11/2014 14:49:16,false,instagc,1,18386513,USA,TN,Kingston,74.248.207.18,angry,unapologetic,secretive,http://christianpost.com/news/obama-not-apologetic-after-angry-profanity-laced-lecture-to-reporters-reporting-on-scandals-retired-abc-news-reporter-says-video-130913/,http://www.christianpost.com/news/obama-not-apologetic-after-angry-profanity-laced-lecture-to-reporters-reporting-on-scandals-retired-abc-news-reporter-says-video-130913/
623389196,12/11/2014 16:38:59,1499843054,12/11/2014 16:38:13,false,neodev,1,26012376,USA,"","",178.62.126.154,Angry,Angry,Angry,http://politico.com/magazine/,www.politico.com/magazine
623389196,12/11/2014 18:50:52,1499963568,12/11/2014 18:31:56,false,clixsense,1,6363498,USA,GA,Fort Valley,23.125.3.6,Inexperienced,Intelligence,Charismatic,http://usnews.com/opinion/articles/2008/09/29/5-words-that-best-describe-barack-obama/,http://www.usnews.com/opinion/articles/2008/09/29/5-words-that-best-describe-barack-obama
623389196,12/11/2014 18:57:16,1499966922,12/11/2014 18:50:53,false,clixsense,1.0,6363498,USA,GA,Fort Valley,23.125.3.6,Lousy,Brilliant,Awesome,https://facebook.com/bluenationreview/posts/356712911177257/,https://www.facebook.com/bluenationreview/posts/356712911177257
623389196,12/11/2014 20:42:50,1500031845,12/11/2014 20:40:49,false,clixsense,1,29609457,USA,PA,York,50.149.9.75,clueless,ignorant,arrogant,http://politico.com/,http://www.politico.com/
623389196,12/11/2014 20:44:05,1500032619,12/11/2014 20:42:23,false,cotter,1,23755748,USA,MO,Pleasant Hill,71.0.213.86,accountability,responsiblity,obligation,http://cnn.com/2014/07/06/opinion/boehner-obama-lawsuit/,http://www.cnn.com/2014/07/06/opinion/boehner-obama-lawsuit/
623389196,12/11/2014 21:31:11,1500056501,12/11/2014 21:30:54,false,instagc,1,21214762,USA,NY,Staten Island,108.21.226.48,sadf,sg,sf,http://asfd.com/,www.asfd.com
623389196,12/11/2014 23:38:25,1500164337,12/11/2014 23:37:40,false,instagc,1,21539986,USA,"","",173.209.211.135,fun,joy,top,http://Obama.com/,Obama.com
623389196,12/12/2014 00:33:19,1500193306,12/12/2014 00:29:49,false,clixsense,1,20033365,USA,TN,New Tazewell,24.112.79.206,bully,trendamplifier,popular,http://huffingtonpost.com/tag/obama-public-opinion/,http://www.huffingtonpost.com/tag/obama-public-opinion/
623389196,12/12/2014 00:52:59,1500211139,12/12/2014 00:52:25,false,tremorgames,1,30779193,USA,OH,Miamisburg,198.185.18.72,angry,sad,defiant,http://cnn.com/2014/07/06/opinion/boehner-obama-lawsuit/,http://www.cnn.com/2014/07/06/opinion/boehner-obama-lawsuit
623389196,12/12/2014 01:02:09,1500221451,12/12/2014 01:01:22,false,gifthunterclub,1,30437205,USA,"","",172.162.13.144,balances,obama,monarch,http://politico.com/magazine/story/2014/11/president-obama-is-not-a-monarch-113028.html#.VIjDaCvF98E,http://www.politico.com/magazine/story/2014/11/president-obama-is-not-a-monarch-113028.html#.VIjDaCvF98E
623389196,12/12/2014 01:07:14,1500226935,12/12/2014 01:06:29,false,treasuretrooper,1,2673359,USA,FL,Tampa,70.126.147.81,defiant,smart,careful,http://abcnews.go.com/Politics/obama-backs-dc-vote-legalize-marijuana/story?id=27536201,http://abcnews.go.com/Politics/obama-backs-dc-vote-legalize-marijuana/story?id=27536201
623389196,12/12/2014 02:34:18,1500337741,12/12/2014 02:33:22,false,instagc,1,30774743,USA,CA,Santa Ana,23.240.186.186,irrelevant,lameduck,invisible,http://washingtontimes.com/news/2014/dec/11/obama-irrelevant-in-spending-bill-battle-as-lame-d/,http://www.washingtontimes.com/news/2014/dec/11/obama-irrelevant-in-spending-bill-battle-as-lame-d/
623389196,12/12/2014 03:00:41,1500370272,12/12/2014 02:58:28,false,neodev,1,30553743,USA,NY,New York,207.172.169.184,Intelligent,Hopeful,Optimistic,https://answers.yahoo.com/question/?qid=20090328182003AAcLlCe,https://answers.yahoo.com/question/index?qid=20090328182003AAcLlCe
623389196,12/12/2014 03:43:10,1500413211,12/12/2014 03:41:25,false,instagc,1,25990856,USA,NV,Las Vegas,98.160.220.169,strong,political,charming,http://articles.chicagotribune.com/2012-11-07/news/sns-rt-us-usa-campaign-obama-factboxbre8a60qa-20121106_1_barack-obama-ann-dunham-1990s-obama/,http://articles.chicagotribune.com/2012-11-07/news/sns-rt-us-usa-campaign-obama-factboxbre8a60qa-20121106_1_barack-obama-ann-dunham-1990s-obama
623389196,12/12/2014 04:16:28,1500444797,12/12/2014 04:10:35,false,quickrewards,1,17912749,USA,CO,Colorado Springs,174.24.52.126,frustrated,Negative,angry,http://nationalinterest.org/commentary/the-psychology-barack-obama-9244/,http://nationalinterest.org/commentary/the-psychology-barack-obama-9244
623389196,12/12/2014 14:04:58,1500894078,12/12/2014 13:56:20,false,neodev,1,30579227,USA,MI,Mount Morris,68.41.211.111,unususal,powerful,confident,http://presidentialham.com/u-s-presidents/barack-obama-with-ham/,http://presidentialham.com/u-s-presidents/barack-obama-with-ham/
623389196,12/12/2014 14:30:28,1500903200,12/12/2014 14:29:49,false,superrewards,1,24796792,USA,NY,New York,108.30.49.176,monarch,correct,forward,http://politico.com/magazine/story/2014/11/president-obama-is-not-a-monarch-113028.html#.VIjDaCvF98E,http://www.politico.com/magazine/story/2014/11/president-obama-is-not-a-monarch-113028.html#.VIjDaCvF98E
623389196,12/12/2014 16:24:30,1500947795,12/12/2014 16:20:03,false,instagc,1,16573689,USA,MI,Osseo,74.45.202.229,calculating,socialist,dogmatic,http://washingtonexaminer.com/i-dont-care-if-obama-thinks-were-stupid-just-repeal-obamacare/article/2557307/,http://www.washingtonexaminer.com/i-dont-care-if-obama-thinks-were-stupid-just-repeal-obamacare/article/2557307
623389196,12/12/2014 16:52:44,1500963121,12/12/2014 16:52:29,false,instagc,1,27077723,USA,"","",206.18.191.161,happy,sad,funny,http://obama.com/,www.obama.com
623389196,12/12/2014 21:09:24,1501157284,12/12/2014 21:07:16,false,clixsense,1,6497991,USA,NC,Clinton,204.211.52.179,flippant,frustrated,dismissal,http://cnn.com/2014/07/06/opinion/boehner-obama-lawsuit/,http://www.cnn.com/2014/07/06/opinion/boehner-obama-lawsuit/
623389196,12/12/2014 22:06:34,1501197235,12/12/2014 21:55:29,false,neodev,1,29931127,USA,UT,Providence,206.190.147.214,defiant,angry,power,http://politico.com/magazine/story/2014/11/president-obama-is-not-a-monarch-113028.html#.VIjDaCvF98E,http://www.politico.com/magazine/story/2014/11/president-obama-is-not-a-monarch-113028.html#.VIjDaCvF98E
623389196,12/12/2014 22:31:50,1501215915,12/12/2014 22:29:23,false,clixsense,1,29811314,USA,FL,Pompano Beach,24.233.176.223,defiant,angry,Communist,http://politico.com/magazine/story/2014/11/president-obama-is-not-a-monarch-113028.html#.VIjDaCvF98E,http://www.politico.com/magazine/story/2014/11/president-obama-is-not-a-monarch-113028.html#.VIjDaCvF98E
